,Difficulty_Level,Key,Link,Range,Tempo,Time_Signature,Title,,,
1717,intermediate,B minor,/tunes/handel-flute-sonata-9b-in-b-minor-i-largo.pdf,"('F#', '4', 'B', '5')",54 BPM,4-Apr,Largo Flute Sonata No. 9b in B minor,Bm,3,/tunes/handel-flute-sonata-9b-in-b-minor-i-largo
2152,easy,B minor,/tunes/boismortier-op13-no7-lentement.pdf,"('F#', '4', 'B', '5')",66 BPM,4-Apr,"Lentement 12 Petites sonates Ã  deux FlÃ»tes TraversiÃ¨res, No. 7",Bm,3,/tunes/boismortier-op13-no7-lentement
1818,intermediate,B minor,/tunes/boismortier-op-22-no23-les-mitrons.pdf,"('D', '4', 'B', '5')",72 BPM,2-Feb,Les Mitrons 55 Easy Pieces,Bm,3,/tunes/boismortier-op-22-no23-les-mitrons
317,intermediate,B minor,/tunes/bach-french-suite-no-3-menuet-and-trio.pdf,"('E', '4', 'B', '5')",152 BPM,4-Mar,Menuet and Trio French Suite No. 3 in B minor,Bm,3,/tunes/bach-french-suite-no-3-menuet-and-trio
28,intermediate,B minor,/tunes/bach-orchestral-suite-no-2-minuet.pdf,"('D', '4', 'B', '5')",108 BPM,4-Mar,Minuet in B minor Orchestral Suite No. 2 in B minor,Bm,3,/tunes/bach-orchestral-suite-no-2-minuet
323,intermediate,B minor,/tunes/bach-orchestral-suite-no-2-polonaise-double.pdf,"('D', '4', 'F#', '6')",60 BPM,4-Mar,Polonaise and Double Orchestral Suite No. 2 in B minor,Bm,3,/tunes/bach-orchestral-suite-no-2-polonaise-double
2501,intermediate,B minor,/tunes/franck-prelude-fugue-et-variation-op18-prelude.pdf,"('D', '4', 'E', '6')",52 BPM,8-Sep,"PrÃ©lude PrÃ©lude, Fugue et Variation",Bm,3,/tunes/franck-prelude-fugue-et-variation-op18-prelude
1810,intermediate,B minor,/tunes/boismortier-op-22-no22-prelude.pdf,"('E', '4', 'D', '6')",72 BPM,2-Feb,PrÃ©lude in B minor 55 Easy Pieces,Bm,3,/tunes/boismortier-op-22-no22-prelude
468,advanced,B minor,/tunes/bach-flute-sonata-no1-presto.pdf,"('F#', '4', 'F#', '6')",108 BPM,2-Feb,Presto Sonata No. 1 in B minor for flute and harpsichord,Bm,3,/tunes/bach-flute-sonata-no1-presto
502,intermediate,B minor,/tunes/wagner-ride-of-the-valkyries.pdf,"('D#', '4', 'C\xe2\x99\xae', '6')",100 BPM,8-Sep,Ride of the Valkyries Die WalkÃ_re,Bm,3,/tunes/wagner-ride-of-the-valkyries
2136,intermediate,B minor,/tunes/boismortier-op13-no7-rondeau.pdf,"('F#', '4', 'D', '6')",92 BPM,2-Feb,"Rondeau 12 Petites sonates Ã  deux FlÃ»tes TraversiÃ¨res, No. 7",Bm,3,/tunes/boismortier-op13-no7-rondeau
757,intermediate,B minor,/tunes/bach-orchestral-suite-no-2-rondeau.pdf,"('F#', '4', 'C#', '6')",69 BPM,2-Feb,Rondeau Orchestral Suite No. 2 in B minor,Bm,3,/tunes/bach-orchestral-suite-no-2-rondeau
195,easy,B minor,/tunes/saint-patricks-an-dro.pdf,"('A', '4', 'A', '5')",88 BPM,4-Feb,Saint Patrick's An Dro,Bm,3,/tunes/saint-patricks-an-dro
1094,intermediate,B minor,/tunes/sakura-sakura-flute-trio.pdf,"('C#', '4', 'G', '6')",68 BPM,4-Apr,Sakura Sakura,Bm,3,/tunes/sakura-sakura-flute-trio
752,intermediate,B minor,/tunes/bach-orchestral-suite-no-2-sarabande.pdf,"('F#', '4', 'C#', '6')",63 BPM,4-Mar,Sarabande Orchestral Suite No. 2 in B minor,Bm,3,/tunes/bach-orchestral-suite-no-2-sarabande
2581,easy,B minor,/tunes/scotts-favorite.pdf,"('D', '4', 'C#', '6')",104 BPM,4-Feb,Scott's Favorite,Bm,3,/tunes/scotts-favorite
1141,easy,B minor,/tunes/shes-like-the-swallow.pdf,"('B', '4', 'D', '6')",120 BPM,4-Mar,She's Like the Swallow,Bm,3,/tunes/shes-like-the-swallow
2933,intermediate,B minor,/tunes/drouet-methode-pour-la-flute-study-no12.pdf,"('D', '4', 'G', '6')",108 BPM,4-Apr,Study No. 12 in B minor MÃ©thode pour la flÃ»te,Bm,3,/tunes/drouet-methode-pour-la-flute-study-no12
1132,intermediate,B minor,/tunes/gariboldi-twenty-studies-no13.pdf,"('F#', '4', 'G', '6')",112 BPM,4-Apr,Study No. 13 in B minor Twenty Studies,Bm,3,/tunes/gariboldi-twenty-studies-no13
1007,intermediate,B minor,/tunes/kohler-op33-no1-study-no13-in-b-minor.pdf,"('D', '4', 'F#', '6')",92 BPM,8-Jun,"Study No. 13 in B minor Progress in Flute Playing, Book 1",Bm,3,/tunes/kohler-op33-no1-study-no13-in-b-minor
1359,intermediate,B minor,/tunes/berbiguier-18-exercises-no16.pdf,"('D', '4', 'G', '6')",88 BPM,4-Apr,Study No. 16 in B minor 18 Exercises or Etudes for Flute,Bm,3,/tunes/berbiguier-18-exercises-no16
2829,intermediate,B minor,/tunes/boehm-24-caprice-etudes-op26-no22.pdf,"('E#', '4', 'G', '6')",108 BPM,4-Apr,Study No. 22 in B minor 24 Caprice-Etudes,Bm,3,/tunes/boehm-24-caprice-etudes-op26-no22
2644,intermediate,B minor,/tunes/boehm-24-etudes-op37-no22.pdf,"('D', '4', 'G#', '6')",60 BPM,8-Jun,Study No. 22 in B minor 24 Etudes,Bm,3,/tunes/boehm-24-etudes-op37-no22
1611,intermediate,B minor,/tunes/gariboldi-thirty-easy-and-progressive-studies-no23.pdf,"('D', '4', 'D', '6')",108 BPM,4-Mar,Study No. 23 in B minor Thirty Easy and Progressive Studies,Bm,3,/tunes/gariboldi-thirty-easy-and-progressive-studies-no23
1757,advanced,B minor,/tunes/karg-elert-30-studies-for-flute-solo-no26.pdf,"('D', '4', 'B', '6')",100 BPM,4-Apr,Study No. 26 30 Studies for Flute Solo,Bm,3,/tunes/karg-elert-30-studies-for-flute-solo-no26
2013,intermediate,B minor,/tunes/kummer-op129-no28.pdf,"('C#', '4', 'A', '6')",66 BPM,4-Mar,Study No. 28 in B minor 32 Etudes amusantes et instructives,Bm,3,/tunes/kummer-op129-no28
1786,intermediate,B minor,/tunes/kummer-op129-no3.pdf,"('E', '4', 'B', '6')",126 BPM,8-Jun,Study No. 3 in B minor 32 Etudes amusantes et instructives,Bm,3,/tunes/kummer-op129-no3
2511,intermediate,B minor,/tunes/drouet-72-studies-for-the-boehm-flute-no33.pdf,"('C#', '4', 'F#', '6')",108 BPM,4-Apr,Study No. 33 in B minor 72 Studies for the Boehm Flute,Bm,3,/tunes/drouet-72-studies-for-the-boehm-flute-no33
1513,intermediate,B minor,/tunes/kohler-op93-no2-study-no5-in-b-minor.pdf,"('D', '4', 'G', '6')",100 BPM,4-Feb,"Study No. 5 in B minor 20 Easy Melodic Progressive Exercises, Book 2",Bm,3,/tunes/kohler-op93-no2-study-no5-in-b-minor
2866,intermediate,B minor,/tunes/andersen-24-etudes-op30-no6.pdf,"('C#', '4', 'F#', '6')",80 BPM,4-Jun,"Study No. 6 in B minor 24 Etudes for Flute, Op. 30",Bm,3,/tunes/andersen-24-etudes-op30-no6
2149,intermediate,B minor,/tunes/andersen-18-etudes-op41-no6.pdf,"('D', '4', 'C#', '6')",60 BPM,8-Jun,Study No. 6 in B minor 18 Etudes for Flute,Bm,3,/tunes/andersen-18-etudes-op41-no6
1386,intermediate,B minor,/tunes/andersen-24-etudes-op33-no6.pdf,"('C#', '4', 'E', '6')",46 BPM,4-Mar,"Study No. 6 in B minor 24 Etudes for Flute, Op. 33",Bm,3,/tunes/andersen-24-etudes-op33-no6
2809,advanced,B minor,/tunes/drouet-72-studies-for-the-boehm-flute-no66.pdf,"('C#', '4', 'G', '6')",84 BPM,4-Apr,Study No. 66 in B minor 72 Studies for the Boehm Flute,Bm,3,/tunes/drouet-72-studies-for-the-boehm-flute-no66
1840,intermediate,B minor,/tunes/gariboldi-etudes-mignonnes-no8.pdf,"('E#', '4', 'F#', '6')",100 BPM,4-Apr,Study No. 8 in B minor Etudes mignonnes,Bm,3,/tunes/gariboldi-etudes-mignonnes-no8
1257,intermediate,B minor,/tunes/kohler-op93-no1-study-no8-in-b-minor.pdf,"('D', '4', 'G', '6')",152 BPM,4-Apr,"Study No. 8 in B minor 20 Easy Melodic Progressive Exercises, Book 1",Bm,3,/tunes/kohler-op93-no1-study-no8-in-b-minor
394,easy,B minor,/tunes/tchaikovsky-swan-lake-swan-theme.pdf,"('G', '4', 'C#', '6')",84 BPM,4-Apr,Swan Theme Swan Lake,Bm,3,/tunes/tchaikovsky-swan-lake-swan-theme
1463,intermediate,B minor,/tunes/tchaikovsky-the-nutcracker-tarantella.pdf,"('D', '4', 'G', '6')",136 BPM,8-Jun,Tarantella The Nutcracker,Bm,3,/tunes/tchaikovsky-the-nutcracker-tarantella
1622,intermediate,B minor,/tunes/quantz-op2-duet-no3-minuetto.pdf,"('D', '4', 'E', '6')",120 BPM,4-Mar,Tempo di Minuetto Flute Duet No. 3 in B minor,Bm,3,/tunes/quantz-op2-duet-no3-minuetto
1737,intermediate,B minor,/tunes/kohler-op66-the-dove.pdf,"('D', '4', 'G', '6')",80 BPM,4-Feb,The Dove 25 Romantic Studies,Bm,3,/tunes/kohler-op66-the-dove
2110,intermediate,B minor,/tunes/the-empty-purse.pdf,"('F#', '4', 'B', '5')",88 BPM,8-Jun,The Empty Purse,Bm,3,/tunes/the-empty-purse
585,intermediate,B minor,/tunes/the-lonesome-boatman.pdf,"('F#', '4', 'G#', '5')",120 BPM,4-Apr,The Lonesome Boatman,Bm,3,/tunes/the-lonesome-boatman
1379,intermediate,B minor,/tunes/the-red-haired-girl-of-tulloch.pdf,"('A', '4', 'A', '5')",132 BPM,4-Apr,The Red-Haired Girl of Tulloch,Bm,3,/tunes/the-red-haired-girl-of-tulloch
229,intermediate,B minor,/tunes/chopin-valse-op69-no2.pdf,"('E#', '4', 'F#', '6')",152 BPM,4-Mar,Valse,Bm,3,/tunes/chopin-valse-op69-no2
1441,intermediate,B minor,/tunes/telemann-six-sonatas-for-two-flutes-no5-vivace.pdf,"('D', '4', 'D', '6')",136 BPM,8-Mar,"Vivace Sonates sans Basse Ã  deux Flutes traverses, No. 4",Bm,3,/tunes/telemann-six-sonatas-for-two-flutes-no5-vivace
1739,intermediate,B minor,/tunes/handel-flute-sonata-9b-in-b-minor-ii-vivace.pdf,"('D', '4', 'B', '5')",126 BPM,2-Mar,Vivace Flute Sonata No. 9b in B minor,Bm,3,/tunes/handel-flute-sonata-9b-in-b-minor-ii-vivace
2435,easy,B-flat major,/tunes/a-hundred-years-since.pdf,"('D', '4', 'D', '6')",144 BPM,2-Feb,A Hundred Years Since,Bbm,8,/tunes/a-hundred-years-since
545,easy,B-flat major,/tunes/a-scottish-soldier.pdf,"('F', '4', 'Bb', '5')",90 BPM,4-Mar,A Scottish Soldier,Bbm,8,/tunes/a-scottish-soldier
249,intermediate,B-flat major,/tunes/pergolesi-la-serva-padrona-a-serpina-penserete.pdf,"('D', '4', 'G', '5')",34 BPM,4-Apr,A Serpina penserete La serva padrona,Bbm,8,/tunes/pergolesi-la-serva-padrona-a-serpina-penserete
356,intermediate,B-flat major,/tunes/across-the-field.pdf,"('D', '5', 'F', '6')",176 BPM,4-Feb,Across the Field,Bbm,8,/tunes/across-the-field
2889,intermediate,B-flat major,/tunes/kuhlau-3-grand-solos-op57-no1-adagio-con-espressione.pdf,"('Db', '4', 'Ab', '6')",60 BPM,4-Feb,"Adagio con espressione Trois Grands Solos, No. 1",Bbm,8,/tunes/kuhlau-3-grand-solos-op57-no1-adagio-con-espressione
830,intermediate,B-flat major,/tunes/binchois-adieu-mamour-et-ma-maistresse.pdf,"('F', '4', 'F', '6')",46 BPM,4-Jun,"Adieu, m'amour et ma maistresse",Bbm,8,/tunes/binchois-adieu-mamour-et-ma-maistresse
1029,easy,B-flat major,/tunes/after-the-ball.pdf,"('D', '4', 'G', '5')",60 BPM,4-Mar,After the Ball,Bbm,8,/tunes/after-the-ball
2070,easy,B-flat major,/tunes/all-the-go.pdf,"('D', '4', 'Bb', '5')",144 BPM,4-Apr,All the Go,Bbm,8,/tunes/all-the-go
1947,intermediate,B-flat major,/tunes/quantz-sonata-no2-alla-breve.pdf,"('F', '4', 'C', '6')",108 BPM,4-Apr,Alla breve Sonata No. 2 in B-flat major,Bbm,8,/tunes/quantz-sonata-no2-alla-breve
869,intermediate,B-flat major,/tunes/kohler-forty-progressive-duets-vol1-no23.pdf,"('D', '4', 'F', '6')",92 BPM,4-Apr,"Allegretto Forty Progressive Duets, Vol. I",Bbm,8,/tunes/kohler-forty-progressive-duets-vol1-no23
405,intermediate,B-flat major,/tunes/godard-suite-de-trois-morceaux-allegretto.pdf,"('C', '4', 'Bb', '6')",108 BPM,4-Feb,Allegretto Suite de trois morceaux,Bbm,8,/tunes/godard-suite-de-trois-morceaux-allegretto
2075,intermediate,B-flat major,/tunes/albinoni-trattenimenti-armonici-no12-iv-allegro.pdf,"('E\xe2\x99\xae', '4', 'D', '6')",108 BPM,8-Dec,"Allegro Trattenimenti armonici, Sonata No. 12 in B-flat major",Bbm,8,/tunes/albinoni-trattenimenti-armonici-no12-iv-allegro
1114,intermediate,B-flat major,/tunes/marcello-recorder-sonata-in-b-flat-major-op2-no7-ii-allegro.pdf,"('G', '4', 'D', '6')",112 BPM,4-Apr,Allegro Recorder Sonata No. 7 in B-flat major,Bbm,8,/tunes/marcello-recorder-sonata-in-b-flat-major-op2-no7-ii-allegro
1479,intermediate,B-flat major,/tunes/albinoni-trattenimenti-armonici-no3-ii-allegro.pdf,"('C', '4', 'C', '6')",96 BPM,4-Apr,"Allegro Trattenimenti armonici, Sonata No. 3 in B-flat major",Bbm,8,/tunes/albinoni-trattenimenti-armonici-no3-ii-allegro
2807,intermediate,B-flat major,/tunes/telemann-partita-no1-vii-allegro.pdf,"('E\xe2\x99\xae', '4', 'Ab', '5')",168 BPM,8-Mar,Allegro Partita No. 1,Bbm,8,/tunes/telemann-partita-no1-vii-allegro
2043,intermediate,B-flat major,/tunes/albinoni-trattenimenti-armonici-no12-ii-allegro-assai.pdf,"('D', '4', 'F', '6')",100 BPM,4-Apr,"Allegro assai Trattenimenti armonici, Sonata No. 12 in B-flat major",Bbm,8,/tunes/albinoni-trattenimenti-armonici-no12-ii-allegro-assai
2727,intermediate,B-flat major,/tunes/oesten-alpengluhen.pdf,"('Eb', '4', 'Bb', '6')",80 BPM,4-Mar,AlpenglÃ_hen,Bbm,8,/tunes/oesten-alpengluhen
487,intermediate,B-flat major,/tunes/amapola.pdf,"('D', '5', 'Eb', '6')",72 BPM,2-Feb,Amapola,Bbm,8,/tunes/amapola
2656,intermediate,B-flat major,/tunes/foster-anadolia.pdf,"('D', '4', 'G', '6')",84 BPM,4-Apr,Anadolia The Social Orchestra,Bbm,8,/tunes/foster-anadolia
2744,intermediate,B-flat major,/tunes/jensen-op16-no6-ii-andante-cantabile.pdf,"('C#', '4', 'G', '6')",72 BPM,8-Jun,"Andante cantabile Six duos faciles et brillants, No. 6",Bbm,8,/tunes/jensen-op16-no6-ii-andante-cantabile
431,intermediate,B-flat major,/tunes/tchaikovsky-the-seasons-april-snowdrop.pdf,"('E\xe2\x99\xae', '4', 'A', '6')",80 BPM,8-Jun,April The Seasons,Bbm,8,/tunes/tchaikovsky-the-seasons-april-snowdrop
902,easy,B-flat major,/tunes/ar-hyd-y-nos.pdf,"('C', '4', 'G', '5')",66 BPM,4-Apr,Ar Hyd y Nos,Bbm,8,/tunes/ar-hyd-y-nos
2799,intermediate,B-flat major,/tunes/telemann-partita-no1-vi.pdf,"('F', '4', 'Bb', '5')",84 BPM,4-Apr,Aria Partita No. 1,Bbm,8,/tunes/telemann-partita-no1-vi
170,intermediate,B-flat major,/tunes/handel-solomon-arrival-of-the-queen-of-sheba.pdf,"('D', '4', 'Bb', '5')",112 BPM,4-Apr,Arrival of the Queen of Sheba Solomon,Bbm,8,/tunes/handel-solomon-arrival-of-the-queen-of-sheba
31,intermediate,B-flat major,/tunes/schubert-ave-maria.pdf,"('F', '4', 'F', '5')",24 BPM,4-Apr,Ave Maria,Bbm,8,/tunes/schubert-ave-maria
1197,easy,B-flat major,/tunes/balcomie-house.pdf,"('D', '4', 'Bb', '5')",92 BPM,8-Jun,Balcomie House,Bbm,8,/tunes/balcomie-house
2970,intermediate,B-flat major,/tunes/ballinasloe.pdf,"('F', '4', 'Bb', '5')",112 BPM,4-Feb,Ballinasloe,Bbm,8,/tunes/ballinasloe
1470,easy,B-flat major,/tunes/boze-pravde.pdf,"('F', '4', 'G', '5')",84 BPM,4-Apr,BoÅ_e pravde,Bbm,8,/tunes/boze-pravde
41,easy,B-flat major,/tunes/wagner-bridal-chorus.pdf,"('F', '4', 'G', '5')",84 BPM,4-Feb,Bridal Chorus Lohengrin,Bbm,8,/tunes/wagner-bridal-chorus
1265,intermediate,B-flat major,/tunes/kohler-op66-by-the-seaside.pdf,"('C#', '4', 'Bb', '6')",66 BPM,4-Mar,By the Seaside 25 Romantic Studies,Bbm,8,/tunes/kohler-op66-by-the-seaside
1935,intermediate,B-flat major,/tunes/quantz-sonata-no2-cantabile.pdf,"('F', '4', 'D', '6')",84 BPM,8-Mar,Cantabile Sonata No. 2 in B-flat major,Bbm,8,/tunes/quantz-sonata-no2-cantabile
725,intermediate,B-flat major,/tunes/verdi-aida-celeste-aida.pdf,"('E\xe2\x99\xae', '4', 'Bb', '5')",40 BPM,8-Jun,Celeste Aida Aida,Bbm,8,/tunes/verdi-aida-celeste-aida
1274,intermediate,B-flat major,/tunes/centennial-waltz.pdf,"('G', '4', 'Eb', '6')",52 BPM,4-Mar,Centennial Waltz,Bbm,8,/tunes/centennial-waltz
417,intermediate,B-flat major,/tunes/elgar-chanson-de-matin.pdf,"('C', '4', 'G', '6')",84 BPM,4-Feb,Chanson de Matin,Bbm,8,/tunes/elgar-chanson-de-matin
342,advanced,B-flat major,/tunes/tchaikovsky-the-nutcracker-chinese-dance-tea.pdf,"('D', '4', 'Bb', '6')",120 BPM,4-Apr,Chinese Dance The Nutcracker Suite,Bbm,8,/tunes/tchaikovsky-the-nutcracker-chinese-dance-tea
291,intermediate,B-flat major,/tunes/clarinet-polka.pdf,"('D', '4', 'D', '6')",112 BPM,4-Feb,Clarinet Polka,Bbm,8,/tunes/clarinet-polka
531,intermediate,B-flat major,/tunes/joplin-combination-march.pdf,"('C', '4', 'G', '6')",90 BPM,4-Apr,Combination March,Bbm,8,/tunes/joplin-combination-march
2735,intermediate,B-flat major,/tunes/telemann-partita-no1-i-con-affetto.pdf,"('F', '4', 'Bb', '5')",40 BPM,8-Dec,Con Affetto Partita No. 1,Bbm,8,/tunes/telemann-partita-no1-i-con-affetto
286,intermediate,B-flat major,/tunes/ding-dong-merrily-on-high.pdf,"('F', '4', 'F', '5')",160 BPM,4-Apr,Ding Dong Merrily on High,Bbm,8,/tunes/ding-dong-merrily-on-high
390,intermediate,B-flat major,/tunes/do-you-like-waffles.pdf,"('Bb', '4', 'G', '5')",200 BPM,4-Apr,Do You Like Waffles?,Bbm,8,/tunes/do-you-like-waffles
2775,easy,B-flat major,/tunes/telemann-partita-no1-iii-dolce.pdf,"('F', '4', 'G', '5')",76 BPM,4-Apr,Dolce Partita No. 1,Bbm,8,/tunes/telemann-partita-no1-iii-dolce
2619,intermediate,B-flat major,/tunes/hugues-school-of-flute-grade2-no14.pdf,"('C#', '4', 'Bb', '6')",152 BPM,4-Mar,"Duet No. 14 in B-flat major School of Flute, Grade 2",Bbm,8,/tunes/hugues-school-of-flute-grade2-no14
1039,intermediate,B-flat major,/tunes/hugues-school-of-flute-grade2-no3.pdf,"('C', '4', 'F', '6')",92 BPM,4-Mar,"Duet No. 3 in B-flat major School of Flute, Grade 2",Bbm,8,/tunes/hugues-school-of-flute-grade2-no3
2915,intermediate,B-flat major,/tunes/hugues-school-of-flute-grade3-no4.pdf,"('C', '4', 'G', '6')",96 BPM,4-Apr,"Duet No. 4 in B-flat major School of Flute, Grade 3",Bbm,8,/tunes/hugues-school-of-flute-grade3-no4
2381,intermediate,B-flat major,/tunes/hugues-school-of-flute-grade2-no5.pdf,"('C', '4', 'Ab', '6')",96 BPM,4-Apr,"Duet No. 5 in B-flat major School of Flute, Grade 2",Bbm,8,/tunes/hugues-school-of-flute-grade2-no5
2712,intermediate,B-flat major,/tunes/gariboldi-six-duos-faciles-op145-no5.pdf,"('D', '4', 'D', '6')",88 BPM,8-Mar,Duet No. 5 in B-flat major Six duos faciles,Bbm,8,/tunes/gariboldi-six-duos-faciles-op145-no5
1106,easy,B-flat major,/tunes/kohler-op93-no1-duet-no6-in-b-flat-major.pdf,"('D', '4', 'G', '6')",92 BPM,4-Mar,"Duet No. 6 in B-flat major 20 Easy Melodic Progressive Exercises, Book 1",Bbm,8,/tunes/kohler-op93-no1-duet-no6-in-b-flat-major
478,intermediate,B-flat major,/tunes/schubert-rosamunde-entracte-no3.pdf,"('F', '4', 'G', '6')",72 BPM,4-Feb,Entr'acte No. 3 Rosamunde,Bbm,8,/tunes/schubert-rosamunde-entracte-no3
588,intermediate,B-flat major,/tunes/telemann-fantasia-for-solo-flute-no4.pdf,"('D', '4', 'E\xe2\x99\xae', '6')",40 BPM,4-Apr,Fantasia No. 4 in B-flat major 12 Fantasias for Solo Flute,Bbm,8,/tunes/telemann-fantasia-for-solo-flute-no4
1210,intermediate,B-flat major,/tunes/joplin-fig-leaf-rag.pdf,"('D', '4', 'Bb', '6')",84 BPM,4-Feb,Fig Leaf Rag,Bbm,8,/tunes/joplin-fig-leaf-rag
525,intermediate,B-flat major,/tunes/tchaikovsky-the-nutcracker-final-waltz-and-apotheosis.pdf,"('D', '4', 'C', '7')",68 BPM,4-Mar,Final Waltz and Apotheosis The Nutcracker,Bbm,8,/tunes/tchaikovsky-the-nutcracker-final-waltz-and-apotheosis
911,easy,B-flat major,/tunes/flow-gently-sweet-afton.pdf,"('F', '4', 'G', '5')",92 BPM,4-Mar,"Flow Gently, Sweet Afton",Bbm,8,/tunes/flow-gently-sweet-afton
260,intermediate,B-flat major,/tunes/saint-saens-carnival-of-the-animals-fossils.pdf,"('D', '4', 'Bb', '6')",112 BPM,2-Feb,Fossils The Carnival of the Animals,Bbm,8,/tunes/saint-saens-carnival-of-the-animals-fossils
1130,intermediate,B-flat major,/tunes/marcello-recorder-sonata-in-b-flat-major-op2-no7-iv-gavotta.pdf,"('A', '4', 'C', '6')",120 BPM,4-Feb,Gavotta Recorder Sonata No. 7 in B-flat major,Bbm,8,/tunes/marcello-recorder-sonata-in-b-flat-major-op2-no7-iv-gavotta
1423,easy,B-flat major,/tunes/go-tell-it-on-the-mountain.pdf,"('F', '4', 'G', '5')",126 BPM,4-Apr,Go Tell It on the Mountain,Bbm,8,/tunes/go-tell-it-on-the-mountain
485,easy,B-flat major,/tunes/grandfathers-clock.pdf,"('F', '4', 'Bb', '5')",96 BPM,4-Apr,Grandfather's Clock,Bbm,8,/tunes/grandfathers-clock
1467,intermediate,B-flat major,/tunes/albinoni-trattenimenti-armonici-no3-i-grave-adagio.pdf,"('Eb', '4', 'D', '6')",44 BPM,4-Apr,"Grave Adagio Trattenimenti armonici, Sonata No. 3 in B-flat major",Bbm,8,/tunes/albinoni-trattenimenti-armonici-no3-i-grave-adagio
2011,intermediate,B-flat major,/tunes/albinoni-trattenimenti-armonici-no12-i-grave-adagio.pdf,"('Eb', '4', 'D', '6')",44 BPM,4-Apr,"Grave Adagio Trattenimenti armonici, Sonata No. 12 in B-flat major",Bbm,8,/tunes/albinoni-trattenimenti-armonici-no12-i-grave-adagio
1906,easy,B-flat major,/tunes/grimaldis-whim.pdf,"('D', '4', 'Bb', '5')",100 BPM,8-Jun,Grimaldi's Whim,Bbm,8,/tunes/grimaldis-whim
1220,intermediate,B-flat major,/tunes/kohler-op66-hand-in-hand.pdf,"('F', '4', 'Bb', '6')",66 BPM,4-Mar,Hand In Hand 25 Romantic Studies,Bbm,8,/tunes/kohler-op66-hand-in-hand
2391,intermediate,B-flat major,/tunes/hopkins-hornpipe.pdf,"('F', '4', 'G', '5')",92 BPM,4-Feb,Hopkin's Hornpipe,Bbm,8,/tunes/hopkins-hornpipe
1065,easy,B-flat major,/tunes/purcell-abdelazer-hornpipe.pdf,"('F', '4', 'Bb', '5')",66 BPM,4-Mar,Hornpipe Abdelazer,Bbm,8,/tunes/purcell-abdelazer-hornpipe
915,easy,B-flat major,/tunes/how-firm-a-foundation.pdf,"('D', '4', 'F', '5')",60 BPM,4-Apr,How Firm a Foundation,Bbm,8,/tunes/how-firm-a-foundation
213,easy,B-flat major,/tunes/how-great-thou-art.pdf,"('C', '5', 'Eb', '6')",60 BPM,4-Apr,How Great Thou Art,Bbm,8,/tunes/how-great-thou-art
1816,easy,B-flat major,/tunes/im-forever-blowing-bubbles.pdf,"('D', '4', 'D', '5')",54 BPM,4-Mar,I'm Forever Blowing Bubbles,Bbm,8,/tunes/im-forever-blowing-bubbles
694,easy,B-flat major,/tunes/il-canto-degli-italiani.pdf,"('D', '4', 'G', '5')",120 BPM,4-Apr,Il Canto degli Italiani,Bbm,8,/tunes/il-canto-degli-italiani
1084,easy,B-flat major,/tunes/il-est-ne-le-divin-enfant.pdf,"('F', '4', 'G', '5')",112 BPM,4-Apr,"Il est nÃ©, le divin enfant",Bbm,8,/tunes/il-est-ne-le-divin-enfant
1414,intermediate,B-flat major,/tunes/kohler-op66-in-the-moonlight.pdf,"('D', '4', 'G', '6')",72 BPM,8-Jun,In the Moonlight 25 Romantic Studies,Bbm,8,/tunes/kohler-op66-in-the-moonlight
2592,intermediate,B-flat major,/tunes/bach-invention-no14-in-b-flat-major.pdf,"('C', '4', 'Bb', '6')",48 BPM,4-Apr,Invention No. 14 in B-flat major,Bbm,8,/tunes/bach-invention-no14-in-b-flat-major
300,easy,B-flat major,/tunes/it-came-upon-the-midnight-clear.pdf,"('D', '4', 'D', '6')",64 BPM,8-Jun,It Came Upon the Midnight Clear,Bbm,8,/tunes/it-came-upon-the-midnight-clear
776,easy,B-flat major,/tunes/its-a-long-way-to-tipperary.pdf,"('D', '4', 'Eb', '5')",108 BPM,4-Feb,It's a Long Way to Tipperary,Bbm,8,/tunes/its-a-long-way-to-tipperary
259,intermediate,B-flat major,/tunes/just-a-closer-walk-with-thee.pdf,"('D', '4', 'D', '5')",100 BPM,4-Apr,Just a Closer Walk with Thee,Bbm,8,/tunes/just-a-closer-walk-with-thee
2335,easy,B-flat major,/tunes/kate-kearney.pdf,"('D', '4', 'Bb', '5')",192 BPM,4-Mar,Kate Kearney,Bbm,8,/tunes/kate-kearney
1841,easy,B-flat major,/tunes/kendal-house.pdf,"('F', '4', 'Bb', '5')",120 BPM,4-Feb,Kendal House,Bbm,8,/tunes/kendal-house
3034,easy,B-flat major,/tunes/la-brabanconne.pdf,"('D', '5', 'D', '6')",100 BPM,4-Apr,La BrabanÃ§onne,Bbm,8,/tunes/la-brabanconne
2144,easy,B-flat major,/tunes/boismortier-op-22-no48-la-castillanne.pdf,"('D', '4', 'Bb', '5')",63 BPM,4-Jun,La Castillanne 55 Easy Pieces,Bbm,8,/tunes/boismortier-op-22-no48-la-castillanne
1349,easy,B-flat major,/tunes/telemann-canonic-sonata-no2-largo.pdf,"('D', '4', 'Bb', '5')",56 BPM,4-Mar,"Largo Six Canonic Sonatas for Two Flutes, No. 2",Bbm,8,/tunes/telemann-canonic-sonata-no2-largo
